text,acq,alum,barley,bop,carcass,castor-oil,cocoa,coconut,coconut-oil,coffee,copper,copra-cake,corn,cotton,cotton-oil,cpi,cpu,crude,dfl,dlr,dmk,earn,fuel,gas,gnp,gold,grain,groundnut,groundnut-oil,heat,hog,housing,income,instal-debt,interest,ipi,iron-steel,jet,jobs,l-cattle,lead,lei,lin-oil,livestock,lumber,meal-feed,money-fx,money-supply,naphtha,nat-gas,nickel,nkr,nzdlr,oat,oilseed,orange,palladium,palm-oil,palmkernel,pet-chem,platinum,potato,propane,rand,rape-oil,rapeseed,reserves,retail,rice,rubber,rye,ship,silver,sorghum,soy-meal,soy-oil,soybean,strategic-metal,sugar,sun-meal,sun-oil,sunseed,tea,tin,trade,veg-oil,wheat,wpi,yen,zinc
"U.S. APPEARS TO TOLERATE FURTHER DLR DECLINE. In a bid to hasten Japan's promise to speed up its economic growth and open markets to foreign trade, top U.S. officials appear once again to have signaled their tolerance of a lower dollar. Treasury Secretary James Baker and one of his top aides, Assistant Secretary David Mulford, said last week there was no target for the dollar, a statement that sent the yen soaring against the dollar, despite massive central bank intervention. ""That was no slip of the tongue,"" said one western monetary official, who asked not to be identified. For now, the strategy appears to be working. Japanese officials said late last week a package to bolster domestic demand will be ready in early April. Until last week, there were few indications the package would be ready anytime soon. The Reagan administration, facing an uproar in Congress over the apparent lack of progress in cutting the 169.8 billion dlr trade deficit, is learning now that to extract results from Japan, dramatic action is required. Last week the White House imposed unprecedented tariffs on certain Japanese electronic goods after Tokyo failed to adhere to a semi-conductor pricing accord between the two countries. The shift in U.S. strategy, in part designed to appease mounting Congressional anger over Japanese policies, comes just two weeks before industrial nations reconvene here to review the Paris agreement to stabilize currencies. And news that Japan earned a record 18 billion dlr trade surplus in the first two months this year just underscored the need for urgent action, in the view of U.S. officials. Nonetheless, U.S. officials see signs of improvement in the deficit. ""I'd be stunned if we were not going to derive some benefits (from the lower dollar) soon,"" said one. In Paris, leading industrial nations agreed to cooperate closely to foster currency stability within ranges reflecting ""underlying economic fundamentals"" or economic reality. The agreement envisages those fundamentals to include Japan and West Germany stimulating their economies and the United States cutting its budget deficit. The three nations, joined by France, Britain and Canada, agree these policies are essential to redress huge global trade imbalances. But analysts say markets have signalled the underlying fundamentals imply a lower dollar, rather than a stable one. Markets, in effect, are less confident than governments that these measures -- including U.S. budget deficit cuts agreed by Congress and the White House --will be carried out. Nonetheless, the dollar's sharp fall has not undermined cooperation. A U.S. economic policymaker said the accord was on track and Tokyo and Bonn seem ""to want more stimulative measures which is what the Paris accord calls for."" International monetary sources said exchange market developments generally have not unsettled policymakers, although Japan is an obvious exception. ""Everybody feels it can still be managed,"" one source said of market developments. But last week, the Bank of Japan spent an estimated five billion dlrs intervening to halt the rise in the yen, and other central banks about one billion dlrs. Another monetary source said Japan was upset with America's half-hearted attempt to halt the falling dollar, flouting the Paris accord outright. The source, close to the top levels of Japanese economic policymaking, said Japan's understanding of the accord was that the yen would be kept at around 154 to the dollar, the level it stood at when the accord was struck. The source said Tokyo was extremely worried by Washington's use of the exchange rate to change Japanese policies. It was a ""pointed reminder"" to Japan to do something about the trade issues, the source said of the dollar's fall against the yen. By departing last Sunday from the language of the Paris accord -- that nations agreed to foster currency stability around current levels -- Baker triggered a run on the dollar. Later in the week, Mulford too said there was no target for the dollar and called on Japan and West Germany to live up to their international responsibilities and stimulate growth. But U.S. officials said recent market developments will not unravel the spirit of the Paris agreement. ""There's a realisation now that you cannot leave things alone, everyone agrees that the external (trade) imbalances ought to be adjusted,"" one official said. ""While no-one is going to cede national sovereignty, we certainly seem to be moving towards much closer co-operation,"" another U.S. official said. The officials said the meeting here, where the six will be joined by Italy, will be a status report. ""Japan will have to explain what the state of their program is and Germany will report on its plans. Maybe there's a need to move faster,"" one source said. Mulford told Congress last week the Paris accord called, in effect, for currency stability for several months. This would buy time for Japan and West Germany to speed up their economic growth and help bring down the U.S. trade deficit. His comments appeared to serve notice on other major nations that Washington cannot wait too long for action to reduce the gap between the Japanese and German trade surpluses and the U.S. trade deficit. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sumita says Bank of Japan will intervene if necessary. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRS 87/88 EC BEET SUGAR ESTIMATE UNCHANGED 12.63 MLN TONNES WHITE EQUIVALENT. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"UNICORP AMERICAN CORP <UAC> 4TH QTR NET. Shr 13 cts vs 70 cts Net 1,538,000 vs 8,614,000 Revs 16.4 mln vs 19.6 mln 12 mths Shr 89 cts vs 2.43 dlrs Net 10.3 mln vs 29.8 mln Revs 56.2 mln vs 83.8 mln Note: 1986 net is before preferred dividend payments and includes after-tax gain from sale of real estate properties of 12.9 mln dlrs. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRITISH MINISTER CRITICISES PROPOSED EC OILS TAX. A British minister said that a proposed European Community tax on vegetable oils and fats would raise the price of fish and chips and he pledged the government would fight against it. Lord Belstead, a junior agriculture minister, told the House of Lords the tax would raise the price of raw materials used in many processed foods by about 100 pct. He said revenue should not be raised by taxing the consumer and called the proposal ""repugnant."" Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PANTASOTE INC <PNT> 4TH QTR LOSS. Oper shr loss four cts vs loss 33 cts Oper net loss 154,000 vs loss 1,301,000 Sales 30.0 mln vs 27.0 mln Year Oper shr profit 60 cts vs loss 16 cts Oper net profit 2,364,000 vs loss 608,000 Sales 113.5 mln vs 132.8 mln NOTE: Net excludes extraordinary charges from provision for roofing products warranties and costs from sale of printing/laminate division of 320,000 dlrs vs 10.3 mln dlrs in quarter and 4,3200,000 dlrs vs 12.7 mln dlrs in year. Net excludes tax credits of 62,000 dlrs vs 41,000 dlrs in quarter and 127,000 dlrs vs 88,000 dlrs in year. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGENTINE VEGETABLE OILS SHIPMENTS IN JAN/NOV 1986. Argentine Vegetable oils shipments during January/November 1986 totalled 1,693,951 tonnes, against 1,469,208 tonnes in the same 1985 period, the Argentine grain board said. The breakdown was: cotton 4,000 (27,900), sunflower 929,847 (816,727), linseed 113,827 (132,954), groundnutseed 26,248 (25,508), soybean 603,335 (448,344), tung 8,402 (10,633), olive 2,234 (3,465), maize 6,058 (3,677), rapeseed nil (nil), grape nil (nil), the board added. Shipments during November 1986 amounted to 138,257 tonnes, against 109,250 tonnes in the same month of 1985. The breakdwon was, in tonnes, cotton nil (nil), sunflower 27,715 (43,064), linseed 5,228 (4,473), groundnutseed 819 (3,647), soybean 104,314 (56,901), tung 20 (nil), olive 161 (858), maize nil (307), rapeseed nil (nil), grape nil (nil), the board said. The ten principal destinations during January/November 1986, with comparative figures for the same 1985 period in brackets, were, in tonnes: Holland 201,660 (204,391), Iran 182,042 (181,228), Soviet Union 163,150 (266,389),Egypt 158,119 (159,350), Algeria 116,330 (11,492), Brazil 101,116 (59,430) , South Africa 94,700 (101,062) , Cuba 89,957 (98,740) , United States 80,109 (nil), India 67,182 (17,403), the board added. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SOUTH KOREAN MONEY SUPPLY RISES IN FEBRUARY. South Korea's M-2 money supply rose 0.39 pct to 33,992.0 billion won in February from 33,858.4 billion in January, when it fell a revised 0.04 pct from December, provisional Bank of Korea figures show. The February figure was up 18.89 pct from a year earlier. M-1 money supply rose 4.13 pct to 8,492.1 billion won in February from January, when it fell 7.82 pct from December. The February figure marked a year-on-year rise of 18.45 pct. The bank previously said M-2 fell 0.06 pct in January. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U.S. MINT SEEKING OFFERS ON COPPER, NICKEL. The U.S. Mint said it is seeking offers on 3,701,000 lbs of electrolytic copper and 629,000 lbs of electrolytic cut nickel cathodes or briquettes that it intends to purchase. It said both metals are for delivery in the week of May 11 to Olin Corp, East Alton, Ill. Offers for the copper are due by 1100 hrs EDT, April 21, while offers on the nickel are due at 1100 hrs EDT on April 14. The Mint said that firms, in submitting their offers, select to receive payment by standard check or be wire transfer. Awards are determined by whichever of the two methods is most cost advantageous, based on the cost of money at that time. The minimum acceptance periods for each solicitation is three calendar days for the copper and 10 calendar days for the nickel, the Mint said. Reuter ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEUTSCHE AGREES FULL TAKEOVER OF FORMER EURASBANK. Deutsche Bank AG <DBKG.F> has agreed to take over the outstanding 25 pct in <Deutsche Bank (Asia) AG>, the former <European Asian Bank AG>, from Creditanstalt-Bankverein <CABV.VI>, Deutsche management board joint spokesman Alfred Herrhausen told a news conference. Euras broke even in 1986 and required no funding from Deutsche, he said. He gave no details of the deal with Creditanstalt. Press reports that Deutsche was planning a takeover of Lloyds Bank plc <LLOY.L> were without foundation, he said. Herrhausen said Deutsche had taken part in the recent capital increase of <Morgan Grenfell Group plc>, but had no plans to raise its 4.4 pct share in Morgan Grenfell. <Banca d'America e d'Italia SpA>, in which 98.3 pct was acquired from Bankamerica Corp <BAC.N> late last year, would be consolidated this year, and contribute to further expansion of Deutsche's business, management board joint spokesman F. Wilhelm Christians said. Following a ruling earlier this year from the Federal High Court, Deutsche had included its non-bank holdings in the balance sheet section ""participations,"" Christians said. But Christians said the bank still regarded shares in these non-bank companies as an investment rather than an active participation. Parent bank total participations rose to 6.45 billion marks in 1986 from a comparable 4.57 billion in 1985 including a rise to 3.79 billion from 2.34 billion in bank participations. Herrhausen said the grouping of holdings in the balance sheet in this was was not a first step to floating them off in a separate holding company. Reuter ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
